path,method,summary,description,parameters,responses
/line-of-credit-accounts/takedowns,POST,Create takedown on LOC account,Creates a new takedown on line of credit account,"uuid, organization-id, Accept-Language, activity-id, branch-organization-id, client-metadata, device-id","200, 400, 404, 422, 500, 501"
/line-of-credit-accounts/{protectedAccountId}/takedowns,GET,Retrieve takedowns list of LOC account,Retrieve takedown information related to the given LOC account,"uuid, organization-id, Accept-Language, activity-id, branch-organization-id, client-metadata, device-id, protected-parameters, protectedAccountId, accountType, accountIdType, applicationName, asOfDate, cursorKey, numberRecordsRequested, processorName","200, 400, 404, 422, 500, 501"
/line-of-credit-accounts/takedowns/{protectedAccountId},GET,Retrieve takedown account details,Retrieve takedown information related to the given takedown account,"uuid, organization-id, Accept-Language, activity-id, branch-organization-id, client-metadata, device-id, protected-parameters, protectedAccountId, accountType, applicationName, asOfDate, filter, processorName","200, 400, 404, 422, 500, 501"
/line-of-credit-accounts/takedowns/{protectedAccountId},PUT,Update a takedown account,Update an existing LOC takedown account,"uuid, organization-id, Accept-Language, activity-id, branch-organization-id, client-metadata, device-id, protected-parameters, protectedAccountId, accountType, accountIdType, applicationName, processorName","200, 400, 404, 422, 500, 501"
/loan-accounts/{protectedAccountId}/payment-schedules,GET,Retrieve payment schedule of loan account,Retrieve payment schedule information related to the given loan account,"uuid, organization-id, Accept-Language, activity-id, branch-organization-id, client-metadata, device-id, protected-parameters, protectedAccountId, accountType, accountIdType, applicationName, asOfDate, processorName","200, 400, 404, 422, 500, 501"
/loan-accounts,GET,Retrieve details of a loan account,To retrieve details of an exisiting loan account,"uuid, organization-id, Accept-Language, activity-id, branch-organization-id, client-metadata, device-id, protected-parameters, customerId, filter, protectedAccountId","200, 400, 404, 422, 500, 501"
/secured-term-loan-accounts/{protectedAccountId}/indirect-loans,GET,Get indirect loan account details,To get the third party dealers information attached to the indirect loan,"uuid, organization-id, Accept-Language, activity-id, branch-organization-id, client-metadata, device-id, protected-parameters, protectedAccountId, accountType, accountIdType, applicationName, approvalStatus, asOfDate, processorName","200, 400, 404, 422, 500, 501"
/secured-term-loan-accounts/{protectedAccountId}/indirect-loans,PUT,Modify an indirect loan account,Update the dealer related information on an indirect loan before activation,"uuid, organization-id, Accept-Language, activity-id, branch-organization-id, client-metadata, device-id, protected-parameters, protectedAccountId, accountType, accountIdType, applicationName, processorName","200, 400, 404, 422, 500, 501"
/secured-term-loan-accounts/{protectedAccountId}/indirect-loans,POST,Create indirect loan account,To capture the dealer or third party information of an indirect loan,"uuid, organization-id, Accept-Language, activity-id, branch-organization-id, client-metadata, device-id, protected-parameters, protectedAccountId, accountType, accountIdType, applicationName, processorName","200, 400, 404, 422, 500, 501"
/secured-term-loan-accounts/{protectedAccountId}/indirect-loans/dealers/{dealerReserveId},DELETE,Delete indirect loan account,To delete the third party dealer details from the loan before activation,"uuid, organization-id, Accept-Language, activity-id, branch-organization-id, client-metadata, device-id, protected-parameters, dealerReserveId, protectedAccountId, accountType, accountIdType, applicationName, processorName","200, 400, 404, 422, 500, 501"
/line-of-credit-accounts/{protectedAccountId}/limit-histories,GET,Retrieve LOC credit limit history,Retrieve LOC credit limit history related to the given account,"uuid, organization-id, Accept-Language, activity-id, branch-organization-id, client-metadata, device-id, protected-parameters, protectedAccountId, accountType, accountIdType, applicationName, cursorKey, fromDate, numberRecordsRequested, processorName, toDate","200, 400, 404, 422, 500, 501"
